scope,file,language,line,type,name
archive,02_FORMAL/coq/properties/_archive_deprecated/Phase3_Infrastructure_Helpers_FINAL.v,coq,77,Axiom,value_typing_from_val_rel_FO
archive,02_FORMAL/coq/properties/_archive_deprecated/Phase3_Infrastructure_Helpers_FINAL.v,coq,153,Axiom,FO_noninterference_pure
archive,02_FORMAL/coq/properties/_archive_deprecated/Phase3_Infrastructure_Helpers_FINAL.v,coq,174,Axiom,pure_eval_preserves_store
archive,02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,658,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,659,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,689,Axiom,store_wf_initial
archive,02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,1028,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,1170,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,105,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,106,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,115,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,116,Admitted,
