file,language,line,type,name
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,115,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,116,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,149,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,150,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,162,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,163,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,173,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,174,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN.v,coq,270,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN.v,coq,271,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN.v,coq,301,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN.v,coq,309,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN.v,coq,324,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN.v,coq,325,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN.v,coq,388,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/StepUpFromSN.v,coq,396,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/StrongNormalization_v2.v,coq,647,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/StrongNormalization_v2.v,coq,653,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/StrongNormalization_v2.v,coq,667,admit tactic,
